"Timestamp","What field are you currently in? ","What is your position?","What is your gender? ","Have you published in a peer-reviewed journal before? ","Are you aware it is possible to make amendments to peer-reviewed publications?","Have you ever considered amending some (minor or major) aspect of your previously published work?","Have you ever attempted to amend an error in one of your published works via the journal? Were you successful?","If your attempt was successful: would you agree that the current amendment system works well?","If the attempt for amendment was unsuccessful: Why? ","If you haven't formalized an attempt for amendment: Why not? ","Would you welcome such a framework for published papers (ran by authors)? ","Finally, are there any comments or suggestions you'd like to make about barriers to the amendment process? "
"2022/01/10 8:23:08 pm CET","Life sciences","Post-doc","Woman","Yes","No","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed;Too much hassle with publisher","Yes",""
"2022/01/10 8:24:36 pm CET","Life sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Disagree","Time consuming;Unclear how to proceed","","Yes",""
"2022/01/10 8:32:01 pm CET","Maths/Statistics","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Disagree","","","No","It is ridiculous in the modern age that if someone views my paper with a correction, they have to go out of their way to see the correction and naturally see only the version of record. They should by default see a corrected version, with the original preserved so it can be viewed if needed. "
"2022/01/10 8:44:38 pm CET","Life sciences","PhD-student","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 8:53:51 pm CET","Life sciences","Post-doc","Woman","Yes","No","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Too much hassle with publisher","Yes",""
"2022/01/10 9:30:46 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Time consuming","Yes",""
"2022/01/10 10:20:17 pm CET","Life sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 11:00:36 pm CET","Conservation ","PhD-student","Woman","No","No","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 11:11:35 pm CET","Life sciences","Post-doc","Man","Yes","Yes","Yes","Unsuccessful attempt","","Editors/Journals not being cooperative","","Yes",""
"2022/01/10 11:21:28 pm CET","Life sciences","PhD-student","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 11:51:10 pm CET","Life sciences","Government staff scientist","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","","I have not considered an attempt for amendment","No",""
"2022/01/10 11:53:56 pm CET","Life sciences","Consultant","Woman","Yes","Yes","Yes","Successful attempt","Strongly disagree","","","Yes",""
"2022/01/10 11:54:03 pm CET","Medicine","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 11:54:48 pm CET","Social sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Agree","","","Yes","The real challenge is in correcting others!"
"2022/01/10 11:55:34 pm CET","Chemistry","Post-doc","Man","Yes","Yes","Yes","Successful attempt","Neutral","","I have not considered an attempt for amendment","Yes",""
"2022/01/10 11:57:27 pm CET","(Astro)Physics","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","","Time consuming;Too much hassle with publisher","Maybe",""
"2022/01/10 11:58:07 pm CET","Life sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","No",""
"2022/01/10 11:58:12 pm CET","Chemistry","Post-doc","Man","Yes","Yes","Yes","Unsuccessful attempt","I have made no attempts to amend previously published work","Scorn of peers","I have not considered an attempt for amendment","Yes","-"
"2022/01/11 12:03:55 am CET","Life sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/11 12:04:20 am CET","Medicine","PhD-student","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed;Embarrassment;Scorn of peers","Yes"," I'm wondering whether adding  new data to a previously published paper without any peer review would be rational.How the new data would be assessed?"
"2022/01/11 12:04:45 am CET","Life sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/11 12:06:09 am CET","Life sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed;I have not considered an attempt for amendment","Yes",""
"2022/01/11 12:07:27 am CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed","No",""
"2022/01/11 12:12:06 am CET","Life sciences","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe","Would amendments be peer reviewed? Would authors try to ‘slip’ in data that might not be of questionable quality."
"2022/01/11 12:12:47 am CET","Life sciences","post-bac research assistant","Woman","No","Yes","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 12:25:10 am CET","Life sciences","PhD-student","Woman","No","Yes","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 12:25:19 am CET","Medicine","Post-doc","Man","Yes","Yes","No","Successful attempt","Neutral","Time consuming;Editors/Journals not being cooperative","","No",""
"2022/01/11 12:29:04 am CET","Life sciences","Staff academic","Woman","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Time consuming;Unclear how to proceed;Embarrassment","Yes for minor corrections, no for additional data and analysis",""
"2022/01/11 12:31:11 am CET","Life sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Neutral","","","Maybe",""
"2022/01/11 12:35:42 am CET","Food science","Post-doc","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 12:38:38 am CET","Life sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Disagree","","","No","My experience with amended published papers to correct minor errors is that it should be much quicker and more straightforward than it is. Regarding the proposal, I think textual correction and correction of minor errors should be reflected in the journals version of record. Additional data and analysis might be better used for a follow-up publication rather than using it to revise an already published paper. "
"2022/01/11 12:40:40 am CET","Medicine","Staff academic","Man","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed","Maybe",""
"2022/01/11 12:40:49 am CET","Life sciences","Research scientist","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Minor innacuracies only","Yes",""
"2022/01/11 12:41:25 am CET","(Astro)Physics","PhD-student","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/11 12:53:05 am CET","(Astro)Physics","BSc student","Man","No","No","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 1:44:43 am CET","Life sciences","PhD-student","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/11 1:52:53 am CET","Life sciences","Professor","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed","Maybe","It seems time consuming and not likely to improve much.  The best thing to do for the bigger problem of ever expanding predatory journals (for my field) is to have the NIH approve page charge fees from grants only for a select list of journals."
"2022/01/11 2:04:59 am CET","Life sciences","Staff academic","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 2:48:38 am CET","Chemistry","PhD-student","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/11 3:22:36 am CET","Social sciences","Researcher","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Once I finish some more study If I find I made mistakes in past I will correct. So far, the status of knwoledge is more or less same. ","Yes","Propaganda folks, folks paid for by some entities will not come forward by themselves to retract or may retract as a propaganda. amendment process can be misused by talented propaganda researcher to spread wring information in a period of time for making profits to their funders. The word science and scientific process has such excuses inbuilt in it where one can propagate wrong things calling it the then science and later correct it. Imagine if this whole covid 19 vaccine thing if goes wrong like the French Nobel Laureate mentioned. Good Luck !"
"2022/01/11 3:31:32 am CET","Machine Learning","PhD-student","Man","Yes","Yes","Yes","Never made an attempt","","","Time consuming;Unclear how to proceed","Maybe","Streamlining the process for ammendments seems very worthwhile, but seems possible to abuse. For example, making bolder claims about results to get a work published, then trying to water them down further along. In addition, there is no guarantee ammendments which do not appear on the journal's version of record would ever be read. This sounds like a good starting point though! "
"2022/01/11 4:50:50 am CET","Life sciences","PhD-student","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 6:00:56 am CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes","There should be an easier way for third parties to report potential problems with published data - I'm not even sure how it is done."
"2022/01/11 6:51:19 am CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/11 7:35:13 am CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 8:24:31 am CET","Life sciences","MSc student","Man","No","No","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 9:39:58 am CET","Earth sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","","Time consuming;Unclear how to proceed;Embarrassment;Too much hassle with publisher","Yes",""
"2022/01/11 9:42:21 am CET","Social sciences","Staff academic","Man","Yes","Yes","Yes","Unsuccessful attempt","Strongly disagree","Editors/Journals not being cooperative","","Yes",""
"2022/01/11 10:06:57 am CET","Life sciences","Post-doc","Woman","Yes","No","Yes","Never made an attempt","I have made no attempts to amend previously published work","","Unclear how to proceed","Yes",""
"2022/01/11 10:08:04 am CET","Earth sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 10:37:26 am CET","Life sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Strongly agree","","","No",""
"2022/01/11 12:03:47 pm CET","Chemistry","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/11 12:06:02 pm CET","Islamic Economics","PhD-student","Man","Yes","Yes","Yes","Unsuccessful attempt","Disagree","Time consuming","Too much hassle with publisher","Yes",""
"2022/01/11 12:14:20 pm CET","(Astro)Physics","Post-doc","Man","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Embarrassment;Too much hassle with publisher","Yes",""
"2022/01/11 12:23:54 pm CET","Medicine","Staff academic","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/11 1:50:11 pm CET","Life sciences","Programme manager ","Prefer not to say","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Peer reviewed",""
"2022/01/11 2:02:07 pm CET","Life sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Strongly agree","I have made no attempts","","Yes",""
"2022/01/11 7:47:32 pm CET","Life sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/12 3:07:16 am CET","Life sciences","PhD-student","Man","Yes","Yes","Yes","Successful attempt","Neutral","","","Yes","I think an author should have easy access to their published work to make amendments or updates. It would be better for the scientific community and the journal which would only need to provide a link."
"2022/01/12 3:14:00 am CET","Life sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes","There would have to be another party involved that would aid with any disputes between authors of certain changes or updates. Not every author agrees on everything, and thus the system would have to be also monitored and approved by another party."
"2022/01/12 3:32:43 am CET","Medicine","PI","Woman","Yes","Yes","Yes","Successful attempt","Disagree","","Time consuming;Embarrassment","Yes",""
"2022/01/12 5:08:52 pm CET","Chemistry","PhD-student","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/12 5:16:16 pm CET","Life sciences","PhD-student","Woman","No","No","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","","Yes",""
"2022/01/12 5:45:58 pm CET","Computer Science","Staff academic","Woman","Yes","No","Yes","Never made an attempt","Agree","I have made no attempts","Time consuming;Unclear how to proceed","Yes",""
"2022/01/12 5:50:51 pm CET","Earth sciences","MSc student","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/12 7:23:15 pm CET","Engineering","PhD-student","Woman","Yes","No","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/12 10:09:16 pm CET","Life sciences","PhD-student","Woman","No","Yes","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","","","I think it’s good in theory but I think the amendment should be highly visible rather than through links to other sites","It needs to be less frowned upon to correct published data (especially if it’s your own) as instruments/techniques etc advance quickly!"
"2022/01/13 1:22:59 am CET","Life sciences","PhD-student","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/13 5:15:19 am CET","Life sciences","PhD-student","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/14 1:08:57 am CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/15 1:13:08 am CET","Life sciences","PhD-student","Woman","No","No","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/17 9:50:09 am CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/17 10:43:15 am CET","Earth sciences","Staff academic","Prefer not to say","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/17 11:45:25 am CET","Life sciences","MSc student","Prefer not to say","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/17 12:28:28 pm CET","Earth sciences","Post-doc","Man","Yes","Yes","No","Unsuccessful attempt","Disagree","Editors/Journals not being cooperative","","Yes",""
